"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata","sensor","location"
2022-08-18 17:05:00,8.47476,4.2679e-15,9e-05,7.67161,35.56641,9e-05,8.49226,1.64167,9e-05,5.3631,7.51722,9.1496e-15,5.2119e-15,10.24862,6.36086,3.1092e-15,5e-05,59975.124,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:10:00,10.09805,3.1869e-15,8e-05,8.82731,55.4082,8e-05,10.12431,1.62917,8e-05,6.2759,8.58541,7.041e-15,4.1766e-15,11.87222,7.98617,2.4334e-15,5e-05,59932.6,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:15:00,7.11498,5.7122e-15,0.00011,6.45956,28.75781,0.00011,7.13248,1.64167,0.00011,4.88327,6.49435,1.0697e-14,6.6507e-15,8.8356,5.07835,3.9814e-15,4e-05,59880.612,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:20:00,9.2761,3.6713e-15,1e-04,7.89352,58.92383,1e-04,9.28985,1.62417,1e-04,5.57252,7.91312,8.5837e-15,4.7846e-15,11.248,6.95928,2.6626e-15,4e-05,59841.718,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:25:00,7.99574,4.7025e-15,0.00011,6.82999,50.04138,0.00011,8.00948,1.62417,0.00011,4.82468,7.28106,1.0914e-14,5.4967e-15,9.8698,5.77147,3.3107e-15,5e-05,59889.464,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:30:00,9.26181,3.6807e-15,9e-05,8.3478,39.08203,9e-05,9.27931,1.64167,9e-05,5.79382,8.07392,8.0443e-15,4.6269e-15,11.13291,7.05683,2.7086e-15,5e-05,60234.61,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:35:00,8.48555,4.2589e-15,8e-05,8.25682,10.23438,8e-05,8.48555,1.66167,8e-05,5.80534,7.40357,8.0177e-15,5.346e-15,10.05773,6.59637,3.2082e-15,6e-05,59133.958,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:40:00,6.89839,6.0143e-15,0.00013,6.09537,35.56641,0.00013,6.91463,1.63417,0.00013,4.13812,6.18324,1.4096e-14,7.2178e-15,8.40445,5.08002,4.3276e-15,5e-05,59212.756,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:45:00,2.62213,3.0154e-14,3e-04,2.42167,9.17773,3e-04,2.63213,1.64292,3e-04,2.13517,2.81639,4.2466e-14,2.6767e-14,3.22256,1.89864,2.1384e-14,6e-05,60235.748,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:50:00,3.64023,1.7453e-14,0.00017,3.43647,9.42188,0.00017,3.65323,1.65237,0.00017,2.96141,3.70497,2.4619e-14,1.6948e-14,4.53389,2.60517,1.2105e-14,5e-05,60259.914,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 17:55:00,3.71504,1.6872e-14,0.00015,3.53246,8.97754,0.00015,3.72066,1.65479,0.00015,3.08212,3.48013,2.3033e-14,1.8812e-14,4.62326,2.66287,1.1718e-14,6e-05,60658.672,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:00:00,2.04354,4.5687e-14,0.00059,1.83885,9.77734,0.00058,2.05978,1.63417,0.00058,1.62804,2.12413,6.673e-14,4.2834e-14,2.50363,1.51897,3.2569e-14,7e-05,60880.216,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:05:00,5.65329,8.3803e-15,8e-05,5.44959,9.42188,8e-05,5.6533,1.66167,8e-05,5.29832,5.35375,9.3368e-15,9.1762e-15,6.96354,4.10335,5.9208e-15,5e-05,60814.29,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:10:00,2.87012,2.5938e-14,0.00036,2.59887,13.01562,0.00036,2.88403,1.63823,0.00036,2.17786,3.14109,4.1088e-14,2.2317e-14,3.49406,2.12546,1.8687e-14,8e-05,60092.046,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:15:00,6.42384,6.7728e-15,8e-05,6.34883,3.9375,8e-05,6.42384,1.67167,8e-05,5.07657,6.00355,1.0026e-14,7.5814e-15,7.91633,4.64878,4.7814e-15,6e-05,59771.51,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:20:00,2.6961,2.8787e-14,0.00042,2.44312,11.58398,0.00041,2.70985,1.63667,0.00041,2.23049,2.7898,3.9485e-14,2.7194e-14,3.29579,1.97063,2.0598e-14,7e-05,59547.922,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:25:00,1.04076,1.4066e-13,0.00157,0.95576,5.0625,0.00155,1.06259,1.6344,0.00156,0.95533,1.23471,1.6225e-13,1.058e-13,0.95996,0.67839,1.6094e-13,0.00031,59498.682,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:30:00,3.23126,2.1288e-14,0.00026,3.0225,9.98438,0.00026,3.23626,1.64917,0.00026,2.71457,3.63504,2.8462e-14,1.7495e-14,3.99671,2.32915,1.4937e-14,7e-05,59207.464,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:35:00,3.41898,1.9376e-14,0.00025,3.23406,9.36621,0.00025,3.43828,1.65339,0.00025,2.5711,3.4725,3.1158e-14,1.8881e-14,4.14717,2.54212,1.4045e-14,0.00012,58907.938,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:40:00,2.51357,3.2355e-14,0.00031,2.40451,5.51953,0.00031,2.52107,1.65917,0.00031,2.04983,2.45487,4.5453e-14,3.3655e-14,2.14973,1.33685,4.1988e-14,1e-04,58675.162,0,-23,10,0,"cyclone-hx9","1"
2022-08-18 18:45:00,1.46739,7.9345e-14,0.00079,1.35936,6.11292,0.00078,1.4752,1.64729,0.00078,1.36464,1.46181,8.955e-14,7.985e-14,1.74792,1.13905,5.9278e-14,0.00015,58434.58,0,-23,10,0,"cyclone-hx9","1"
