"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata"
2022-08-31 13:05:00,0.92474,1.7129e-13,0.01029,0.52037,18.61719,0.00905,1.00221,1.4112,0.00913,0.49355,0.933,4.8777e-13,1.6877e-13,2.29249,1.40803,3.7721e-14,0.00012,55981.86,0,0,1,0
2022-08-31 13:10:00,1.15511,1.1823e-13,0.00355,0.85368,14.08228,0.00327,1.19882,1.54317,0.00328,0.8106,1.29828,2.1335e-13,9.7308e-14,3.95962,2.30448,1.5171e-14,9e-05,28900.21,0,0,1,0
2022-08-31 13:15:00,1.52275,7.4596e-14,0.00396,0.89701,26.84796,0.00351,1.58595,1.46998,0.00354,0.8467,1.5279,1.984e-13,7.4177e-14,3.48167,2.01683,1.8798e-14,7e-05,50187.83,0,0,1,0
2022-08-31 13:20:00,2.03961,4.5833e-14,0.00182,1.35497,29.83105,0.00166,2.08055,1.53106,0.00167,1.23704,2.12117,1.0547e-13,4.2934e-14,2.49752,1.50308,3.2703e-14,7e-05,57478.06,0,0,1,0
2022-08-31 13:25:00,1.63505,6.6254e-14,0.00155,1.31674,13.91821,0.00147,1.67192,1.58543,0.00147,1.2122,1.92225,1.0909e-13,5.0592e-14,1.98332,1.23939,4.8022e-14,1e-04,47260.484,0,0,1,0
2022-08-31 13:30:00,1.23779,1.0536e-13,0.0038,0.86839,17.55469,0.00348,1.29365,1.51903,0.0035,0.82356,1.38468,2.0778e-13,8.7401e-14,2.62919,1.59002,3.0019e-14,0.00012,49304,0,0,1,0
2022-08-31 13:35:00,1.66023,6.4588e-14,0.00282,1.07085,25.44983,0.00255,1.73016,1.50754,0.00257,0.99955,1.74848,1.5046e-13,5.9246e-14,2.98707,1.76047,2.4267e-14,7e-05,57581.94,0,0,1,0
2022-08-31 13:40:00,1.61156,6.7871e-14,0.0031,1.02219,25.44983,0.00278,1.65468,1.5038,0.0028,0.96428,1.71479,1.5974e-13,6.1199e-14,4.7125,2.64316,1.135e-14,7e-05,50134.694,0,0,1,0
2022-08-31 13:45:00,1.25198,1.0338e-13,0.00646,0.68139,25.30217,0.00564,1.33228,1.42483,0.00569,0.65274,1.30235,3.061e-13,9.6802e-14,3.68367,2.1266,1.7112e-14,8e-05,47657.854,0,0,1,0
2022-08-31 13:50:00,1.74097,5.9673e-14,0.00225,1.20806,23.69484,0.00206,1.78107,1.53634,0.00207,1.10783,1.86304,1.2676e-13,5.33e-14,3.05289,1.80767,2.3401e-14,8e-05,44051.45,0,0,1,0
2022-08-31 13:55:00,2.0911,4.3968e-14,0.00217,1.28833,35.56641,0.00194,2.14031,1.49755,0.00195,1.16755,2.21903,1.1614e-13,3.9825e-14,2.56861,1.53352,3.1208e-14,7e-05,55678.19,0,0,1,0
2022-08-31 14:00:00,1.29297,9.7974e-14,0.00505,0.77862,23.02576,0.00449,1.35009,1.47154,0.00453,0.7353,1.37052,2.5099e-13,8.891e-14,2.47164,1.50285,3.3275e-14,1e-04,55897.644,0,0,1,0
2022-08-31 14:05:00,1.64655,6.5485e-14,0.00325,1.00551,28.53433,0.00291,1.68293,1.49098,0.00293,0.95098,1.75305,1.6348e-13,5.8989e-14,2.91316,1.72739,2.5302e-14,7e-05,64493.9,0,0,1,0
2022-08-31 14:10:00,0.91941,1.7295e-13,0.01314,0.45654,21.12155,0.01132,1.02264,1.36366,0.0115,0.44596,0.92745,5.7757e-13,1.7046e-13,5.67489,3.10724,8.3272e-15,5e-05,63978.104,0,0,1,0
2022-08-31 14:15:00,1.10931,1.2648e-13,0.00755,0.61989,21.89612,0.00666,1.18852,1.42639,0.00671,0.59026,1.14284,3.6199e-13,1.2035e-13,2.25714,1.40186,3.8711e-14,0.00014,39101.552,0,0,1,0
2022-08-31 14:20:00,1.43082,8.2754e-14,0.00445,0.84144,25.44983,0.00395,1.48793,1.47154,0.00398,0.78642,1.44776,2.2439e-13,8.1147e-14,3.22859,1.89916,2.1318e-14,9e-05,37406.738,0,0,1,0
2022-08-31 14:25:00,1.20691,1.0989e-13,0.00418,0.82504,17.96094,0.00379,1.25165,1.51246,0.00381,0.78306,1.29616,2.26e-13,9.7574e-14,3.30286,1.9189,2.0525e-14,7e-05,57289.462,0,0,1,0
2022-08-31 14:30:00,1.17719,1.1456e-13,0.00692,0.65406,23.85156,0.00607,1.26639,1.42639,0.00613,0.62073,1.16044,3.3286e-13,1.1732e-13,3.95474,2.24737,1.5202e-14,6e-05,55936.964,0,0,1,0
2022-08-31 14:35:00,1.21293,1.0899e-13,0.00676,0.66712,24.74854,0.00593,1.29215,1.42639,0.00598,0.63587,1.24591,3.1976e-13,1.0422e-13,3.76183,2.16799,1.6523e-14,8e-05,41243.144,0,0,1,0
2022-08-31 14:40:00,1.89313,5.1895e-14,0.00257,1.16236,32.23275,0.0023,1.95364,1.49155,0.00231,1.07097,1.90286,1.3411e-13,5.1454e-14,4.23087,2.38259,1.3585e-14,6e-05,51211.066,0,0,1,0
2022-08-31 14:45:00,1.64855,6.5352e-14,0.00237,1.14551,22.65527,0.00216,1.69722,1.53546,0.00217,1.08434,1.82806,1.3137e-13,5.5011e-14,4.04076,2.28684,1.4666e-14,7e-05,55245.264,0,0,1,0
2022-08-31 14:50:00,1.4187,8.3935e-14,0.0065,0.70419,30.87062,0.0056,1.50774,1.40025,0.00567,0.66476,1.28114,2.9693e-13,9.9488e-14,4.39677,2.48141,1.2741e-14,7e-05,51161.722,0,0,1,0
2022-08-31 14:55:00,1.51467,7.526e-14,0.00516,0.80024,30.87062,0.00449,1.60388,1.42639,0.00454,0.75253,1.43284,2.4149e-13,8.256e-14,5.91772,3.24906,7.7655e-15,6e-05,49475.076,0,0,1,0
2022-08-31 15:00:00,1.0292,1.4331e-13,0.01365,0.45342,26.13896,0.0116,1.13852,1.32945,0.0118,0.43857,0.86901,5.9387e-13,1.8998e-13,4.92428,2.79646,1.0549e-14,8e-05,37883.6,0,0,1,0
2022-08-31 15:05:00,1.37452,8.848e-14,0.00743,0.64711,31.92432,0.00637,1.46929,1.38187,0.00645,0.62368,1.25375,3.3024e-13,1.0314e-13,7.72238,4.43204,4.9832e-15,7e-05,52000.668,0,0,1,0
2022-08-31 15:10:00,1.09092,1.3005e-13,0.0111,0.51302,25.91763,0.0095,1.19736,1.35172,0.00962,0.49453,1.02165,4.8616e-13,1.4508e-13,5.51129,3.03581,8.7433e-15,6e-05,54054.532,0,0,1,0
2022-08-31 15:15:00,1.21219,1.091e-13,0.0063,0.68907,23.85156,0.00554,1.28751,1.44315,0.0056,0.66379,1.27767,2.9765e-13,9.9938e-14,4.5184,2.53384,1.2175e-14,6e-05,53926.486,0,0,1,0
2022-08-31 15:20:00,0.97229,1.5756e-13,0.01343,0.45796,23.02576,0.0115,1.09957,1.33562,0.01166,0.44155,0.898,5.8721e-13,1.7987e-13,4.51674,2.54893,1.2182e-14,7e-05,50144.434,0,0,1,0
2022-08-31 15:25:00,1.58402,6.9849e-14,0.00586,0.74868,36.22266,0.00502,1.66484,1.3938,0.00508,0.7099,1.37346,2.6614e-13,8.8593e-14,5.5767,3.0611,8.573e-15,6e-05,49589.302,0,0,1,0
2022-08-31 15:30:00,1.42896,8.2934e-14,0.00539,0.76969,29.2334,0.00471,1.51817,1.42639,0.00475,0.73387,1.40457,2.5181e-13,8.5347e-14,5.92617,3.22956,7.7471e-15,5e-05,55843.116,0,0,1,0
2022-08-31 15:35:00,1.72435,6.0634e-14,0.00258,1.13071,25.16021,0.00233,1.7859,1.50918,0.00234,1.0585,1.92187,1.3675e-13,5.0608e-14,4.88594,2.72223,1.0687e-14,6e-05,49830.882,0,0,1,0
2022-08-31 15:40:00,0.97054,1.5803e-13,0.01454,0.44741,23.85156,0.01239,1.07985,1.32945,0.01258,0.4223,0.83717,6.3251e-13,2.0218e-13,4.74683,2.66841,1.1214e-14,7e-05,45207.562,0,0,1,0
2022-08-31 15:45:00,1.16107,1.1722e-13,0.0066,0.66217,22.50195,0.00582,1.22535,1.44317,0.00587,0.62793,1.16546,3.2652e-13,1.1648e-13,4.15202,2.35875,1.4017e-14,8e-05,47604.44,0,0,1,0
2022-08-31 15:50:00,0.93249,1.6892e-13,0.01544,0.41883,23.24573,0.01314,1.05697,1.32352,0.01338,0.40328,0.79364,6.83e-13,2.21e-13,6.049,3.29197,7.4867e-15,5e-05,56375.524,0,0,1,0
2022-08-31 15:55:00,1.48809,7.7514e-14,0.00418,0.87906,25.65524,0.00371,1.54352,1.46787,0.00373,0.83017,1.57555,2.0503e-13,7.0476e-14,4.73394,2.64388,1.1265e-14,6e-05,53554.764,0,0,1,0
2022-08-31 16:00:00,1.40104,8.5706e-14,0.00575,0.74175,29.2334,0.00501,1.48253,1.42199,0.00505,0.70373,1.3391,2.7003e-13,9.2414e-14,3.67735,2.12215,1.7161e-14,6e-05,52137.27,0,0,1,0
2022-08-31 16:05:00,1.02367,1.446e-13,0.0104,0.52063,22.65527,0.00901,1.09162,1.38841,0.00911,0.50422,1.01543,4.7069e-13,1.4656e-13,3.92884,2.23681,1.5369e-14,6e-05,52096.892,0,0,1,0
2022-08-31 16:10:00,1.23053,1.064e-13,0.00541,0.74111,21.89612,0.00482,1.28596,1.46787,0.00485,0.71205,1.30586,2.648e-13,9.6368e-14,3.55893,2.0476,1.8123e-14,6e-05,52569.886,0,0,1,0
2022-08-31 16:15:00,1.33944,9.2376e-14,0.00796,0.62451,31.17435,0.00681,1.44977,1.36762,0.00689,0.59807,1.21501,3.5414e-13,1.0868e-13,7.57847,4.26764,5.1419e-15,6e-05,53095.024,0,0,1,0
2022-08-31 16:20:00,0.87949,1.8623e-13,0.01088,0.49546,17.93046,0.00955,0.95698,1.4112,0.00965,0.48415,0.93326,5.0365e-13,1.6869e-13,6.26324,3.49978,7.0648e-15,6e-05,53175.962,0,0,1,0
2022-08-31 16:25:00,1.02222,1.4494e-13,0.00329,0.81441,9.62891,0.00308,1.04874,1.57629,0.00309,0.80262,1.2,2.169e-13,1.1095e-13,2.04311,1.27567,4.5703e-14,9e-05,52932.35,0,0,1,0
2022-08-31 16:30:00,0.76094,2.3705e-13,0.01426,0.42265,15.9545,0.01253,0.40615,1.69157,0.01252,0.41331,0.77587,6.556e-13,2.295e-13,2.09288,1.30617,4.3906e-14,1e-04,52743.43,0,0,1,0
2022-08-31 16:35:00,1.11563,1.2528e-13,0.00897,0.5754,24.09658,0.00778,1.19649,1.3938,0.00786,0.55245,1.11671,4.0421e-13,1.2508e-13,5.18153,2.85363,9.6902e-15,6e-05,52738.156,0,0,1,0
2022-08-31 16:40:00,1.50782,7.5831e-14,0.00551,0.76912,32.3728,0.00478,1.59543,1.41166,0.00482,0.72714,1.36477,2.557e-13,8.9535e-14,5.86394,3.23764,7.8846e-15,5e-05,52715.662,0,0,1,0
