"dateTime","r0_1","Cn2","residual_Kolmo","r0Kalman","L0Kalman","residual_Kalman","r0power","r0expo","residual_power","r0max","r0min","Cn2max","Cn2min","r0noTT.0.","Cn2noTT","r0noTT.1.","residual_KolmonoTT","imamax","npixsat","offsets.0.","offsets.1.","flagdata","sensor","location"
2022-08-18 15:45:00,1.27999,9.9637e-14,0.00137,1.15249,6.71875,0.00135,1.30624,1.62917,0.00135,1.10072,1.51563,1.2813e-13,7.5181e-14,1.20387,0.81674,1.1036e-13,2e-04,65528,2,0,0,0,"freflow","1"
2022-08-18 15:50:00,1.1222,1.2406e-13,0.00105,1.0547,3.6875,0.00104,1.13712,1.64964,0.00105,0.99642,1.21221,1.5125e-13,1.0909e-13,1.03318,0.71807,1.4239e-13,0.00021,65528,2,0,0,0,"freflow","1"
2022-08-18 15:55:00,0.85712,1.944e-13,0.00213,0.77681,4.41016,0.0021,0.88087,1.62792,0.0021,0.75108,1.11591,2.4226e-13,1.2523e-13,0.82818,0.59677,2.0585e-13,0.00039,65528,3,0,0,0,"freflow","1"
2022-08-18 16:00:00,1.301,9.697e-14,0.00078,1.226,3.9375,0.00077,1.31287,1.65604,0.00078,1.15463,1.47726,1.1831e-13,7.8464e-14,1.54054,1.02296,7.3166e-14,0.00017,65528,3,0,0,0,"freflow","1"
2022-08-18 16:05:00,0.70902,2.6668e-13,0.00177,0.65846,3.55208,0.00175,0.67277,1.67511,0.00174,0.68584,0.81131,2.8188e-13,2.1304e-13,0.8225,0.59286,2.0823e-13,0.00029,65515.268,0,0,0,0,"freflow","1"
2022-08-18 16:10:00,0.79961,2.1826e-13,0.00363,0.69091,5.89294,0.00356,0.68211,1.67324,0.00357,0.65924,0.9042,3.0108e-13,1.7782e-13,0.73024,0.53616,2.5389e-13,0.00046,63131.672,0,0,0,0,"freflow","1"
2022-08-18 16:15:00,0.97978,1.5555e-13,0.00121,0.92087,2.43945,0.0012,0.99728,1.65292,0.00122,0.92708,1.09396,1.7057e-13,1.2945e-13,0.8083,0.5857,2.1436e-13,0.00039,65441.76,0,0,0,0,"freflow","1"
2022-08-18 16:20:00,0.94891,1.6408e-13,0.00086,0.88391,3.9375,0.00084,0.9543,1.6487,0.00084,0.9278,1.06593,1.7035e-13,1.3517e-13,1.11393,0.76492,1.256e-13,0.00021,65502.52,0,0,0,0,"freflow","1"
2022-08-18 16:25:00,0.98867,1.5323e-13,0.00108,0.93636,3.36865,0.00108,0.99367,1.65667,0.00109,0.92197,1.06796,1.7215e-13,1.3474e-13,0.91707,0.65226,1.7368e-13,0.00026,64870.058,0,0,0,0,"freflow","1"
2022-08-18 16:30:00,0.97117,1.5786e-13,0.00131,0.90492,3.76562,0.0013,0.97367,1.65167,0.00131,0.92747,1.11381,1.7045e-13,1.2563e-13,1.12791,0.79285,1.2302e-13,0.00037,64296,0,0,0,0,"freflow","1"
